SAMPLE,AMP,CENTROID,DURATION
288,-60.958635,4529.736693,15.583333
289,-105.117284,7743.840066,10.885417
290,-102.790364,7678.551518,10.916667
291,-65.589242,8991.41318,16.958333
292,-65.296475,8983.097004,23.3125
293,-102.402809,3264.273289,10.9375
294,-111.0559,5994.450003,10.833333
295,-67.523711,5277.04856,25.447917
296,-59.790345,2419.07405,20.427083
297,-69.853773,6582.138419,15.9375
298,-66.796976,2576.785931,15.21875
299,-62.195666,3086.245315,10.541667
300,-62.828169,3966.043057,164.353741
301,-58.017267,1274.011297,20.40625
302,-58.549422,1492.823634,27.15625
303,-67.384768,9597.113541,22.854167
304,-92.295027,4498.393407,21.46875
305,-60.637248,5878.578994,25.46875
306,-71.209104,7202.377963,23.1875
307,-77.292971,3533.959252,22.46875
308,-115.682106,9029.240816,10.760417
309,-57.702803,3088.101482,27.635417
310,-89.703021,3875.66601,11.197917
311,-76.606003,2848.008967,15.458333
312,-57.057845,8758.592935,32.958333
313,-48.736655,7964.800888,16.208333
314,-82.299487,5402.653412,21.802083
315,-94.380308,2598.62083,11.020833
316,-94.057196,2398.159194,11.072917
317,-59.386448,6715.885039,99.705215
318,-72.375824,1659.501293,22.614583
319,-78.309907,5404.981393,10.239583
320,-75.202752,2413.982147,22.520833
321,-58.686027,5506.449016,20.708333
322,-55.696148,856.685161,21.03125
323,-89.925351,3703.958146,21.427083
324,-50.224293,8331.636322,35.6875
325,-43.026063,6298.9496,50.854167
326,-75.883676,6827.923389,12.010417
327,-117.77402,8373.386547,10.739583
328,-57.227453,6790.42841,23.770833
329,-69.206601,7498.725451,12.28125
330,-80.329773,5277.744112,11.5
331,-55.038154,6682.144704,20.604167
332,-74.827949,3395.43573,14.21875
333,-72.553883,938.780984,13.739583
334,-71.400004,3096.876093,23.125
335,-61.532623,9612.375761,17.09375
336,-81.945481,3537.464952,12.635417
337,-61.488,7384.394959,23.166667
338,-73.190376,7216.055662,22.697917
339,-54.4481,6696.229606,28.21875
340,-104.523611,6880.43217,10.927083
341,-58.90538,2495.600709,17.416667
342,-69.166432,11492.02518,12.46875
343,-79.011926,4064.752601,12.072917
344,-80.960663,6746.677178,21.770833
345,-43.190916,7010.522967,28.958333
346,-72.993828,5097.051723,15.072917
347,-42.974105,7913.74236,27.947917
348,-74.9473,4628.312505,12.15625
349,-61.250684,8942.776729,22.6875
350,-65.755715,2888.999747,13.572917
351,-35.679131,3949.058505,365.427083
352,-65.160977,4609.808329,13.96875
353,-72.345186,9774.660453,12.854167
354,-52.821139,2743.595101,20.53125
355,-86.67415,7842.258484,11.354167
356,-82.848183,11849.45482,11.28125
357,-66.492829,5150.277671,23.708333
358,-27.543059,3664.150838,168.541667
359,-46.944448,6195.62147,19.947917
360,-43.254959,8327.113383,19.09375
361,-37.38657,7758.871018,87.729167
362,-72.920918,9070.633179,13.364583
363,-50.155,5216.948109,10.59375
364,-48.943029,5013.085738,18.9375
365,-76.895638,4026.292053,11.572917
366,-60.76222,7946.273658,24.9375
367,-52.243584,3962.743326,15.729167
368,-87.557014,5025.558909,21.635417
369,-55.957689,6384.014799,24.885417
370,-34.705161,5533.363688,90.625
371,-79.242554,3914.124121,12
372,-74.42654,8721.816334,13.46875
373,-56.614027,5582.412106,17.5
374,-66.505968,1321.074314,25.708333
375,-65.324239,799.606448,26.666667
376,-63.069293,3585.557531,27.375
377,-80.425811,2920.531498,14.104167
378,-32.505432,8261.309228,203.385417
379,-61.556744,5315.73156,42.916667
380,-57.584946,7278.06532,24.4375
381,-64.294852,3500.664149,15.75
382,-34.345437,4212.773896,376.65625
383,-68.833417,8743.355694,12.40625
384,-71.727501,11238.16839,13.46875
385,-31.827753,7392.123863,167.03125
386,-78.444867,5331.432237,12
387,-68.763882,9165.900144,12.395833
388,-69.000823,4682.567423,13.604167
389,-70.259298,9278.297741,12.84375
390,-66.862659,7322.623066,22.6875
391,-96.177696,9529.498202,11.333333
392,-86.276818,6555.393448,11.229167
393,-53.545931,5102.274783,16.15625
394,-73.16645,5506.997517,21.791667
395,-26.28323,4768.792744,477.520833
396,-53.651232,5359.017151,37.479167
397,-63.050623,3019.620798,34.927083
398,-61.964609,7787.185037,14.5625
399,-54.692204,3450.496361,17.427083
400,-63.508666,8075.194591,25.322917
401,-61.387461,6981.089627,42.916667
402,-68.028538,3435.70766,14.583333
403,-59.571879,4576.069196,28.354167
404,-76.399983,4979.659555,11.697917
405,-38.024794,8375.337946,51.71875
406,-70.422693,7250.983182,23.416667
407,-44.267643,7490.166294,45.354167
408,-30.277427,4242.452028,429.875
409,-55.694948,5012.282064,24.677083
410,-85.31626,4094.681036,11.53125
411,-33.349021,3892.412393,276.6875
412,-29.371702,4298.083424,418.9375
413,-87.1332,5801.461664,11.28125
414,-59.186628,6396.398362,13.958333
415,-65.772114,10066.45225,22.84375
416,-52.547058,9487.036441,10.395833
417,-48.352234,9996.882659,16.614583
418,-55.290295,8119.936963,23.302083
419,-37.13517,7559.626803,70.8125
420,-55.627523,8071.101513,10.072917
421,-46.069657,6657.216535,21.302083
422,-49.030868,3527.312616,20.84375
423,-74.666896,3983.55029,12.677083
424,-53.151672,4701.052729,18.708333
425,-38.58558,7453.071595,51.770833
426,-68.648568,4831.68256,22.395833
427,-69.757949,2522.238715,13.666667
428,-74.814911,3727.932607,12.145833
429,-74.585946,6992.720767,12.260417
430,-100.264848,6589.234447,10.885417
431,-106.812054,8444.75078,10.770833
432,-63.901388,2969.993373,23.583333
433,-72.226844,6705.514915,12.864583
434,-67.179271,4742.915156,13.75
435,-60.657064,7984.490405,16.458333
436,-54.899108,3492.19663,28.364583
437,-58.947316,7757.23298,16
438,-83.172621,6736.255041,11.489583
439,-57.648849,10437.92216,14.5625
440,-70.743927,4759.063389,13.1875
441,-35.89571,7863.435197,66.760417
442,-91.382301,8160.460735,11.333333
443,-57.803698,2628.683673,18.260417
444,-49.543667,10201.11481,27.0625
445,-53.412136,5456.087845,17.385417
446,-69.183068,4194.343369,15.291667
447,-82.427717,8578.388521,12.25
448,-45.94004,5015.957799,31.875
449,-64.546234,2375.910437,17.947917
450,-81.972196,9349.276901,11.041667
451,-61.963439,5667.509786,13.666667
452,-42.445258,7676.395637,39.458333
453,-59.6787,4561.465064,15.09375
454,-66.929467,2166.144549,13.760417
455,-53.827476,3255.766951,10.645833
456,-39.84185,9952.289964,57.15625
457,-51.81781,8573.106292,10.375
458,-53.168472,8489.558211,18.072917
459,-73.599775,6520.256819,12.802083
460,-56.665879,3443.693772,23.458333
461,-54.361169,7152.903315,24.385417
462,-72.1724,3531.003026,21.979167
463,-56.456874,6004.080684,64.15625
464,-71.912926,10903.29016,12.864583
465,-60.70255,8421.20269,15.375
466,-46.799328,6029.190151,110.544218
467,-51.787133,3330.713607,18.291667
468,-55.405862,2384.737996,16.333333
469,-64.40643,6845.080293,13.958333
470,-83.435692,3814.01266,11.677083
471,-53.623933,6525.687862,15.541667
472,-49.531139,5644.080507,26.677083
473,-73.077976,2262.651533,14.270833
474,-74.879866,3016.042539,22.083333
475,-50.928561,4808.806683,20.59375
476,-51.236003,7737.676887,20.6875
477,-35.739036,3525.395304,476.104167
478,-73.572073,4136.586932,12.135417
479,-75.946404,9193.93195,11.833333
480,-70.317873,2577.817062,23.15625
481,-96.68827,8065.940784,10.875
482,-60.955688,5183.547411,14.21875
483,-57.724792,9746.91424,10.083333
484,-86.625468,3045.443243,11.864583
485,-65.622767,9390.667348,15.104167
486,-83.938964,10694.42341,11.833333
487,-67.686299,2553.86388,24.625
488,-61.084964,3156.472058,24.541667
489,-72.403635,1569.160804,13.114583
490,-61.627281,584.49467,21.25
491,-64.522352,3808.858162,19.166667
492,-64.265981,6123.893897,21.145833
493,-74.751056,2677.694903,12.145833
494,-62.188205,3823.989595,16.40625
495,-70.142701,2973.360223,13.614583
496,-74.022478,4875.45128,12.416667
497,-45.823943,7424.888621,31.3125
498,-72.801837,1290.049001,12.510417
499,-107.393742,4677.044499,11.072917
500,-55.399128,3167.009666,10.583333
501,-58.428366,2799.630961,27.177083
502,-46.579311,8232.412439,86.072917
503,-55.885752,2088.966588,19.802083
504,-33.55078,6873.596513,225.1875
505,-46.965017,2483.250442,29.729167
506,-65.52605,7085.422073,15.5
507,-65.666036,6970.928004,34.5625
508,-55.472859,9237.530329,18.572917
509,-77.991843,1611.304523,12.666667
510,-69.830403,7055.448851,14.895833
511,-68.821121,5878.288048,26.927083
512,-66.289647,3768.737992,16.78125
513,-95.236842,4265.202949,21.447917
514,-49.776608,4948.738768,21.052083
515,-72.689281,1797.988298,17.333333
516,-59.080938,6499.253098,37.270833
517,-50.980235,4127.737474,20.416667
518,-57.612779,1876.660758,17.489583
519,-67.878311,1554.571082,16.697917
520,-60.159299,2794.434067,16.6875
521,-63.420836,1892.867602,17.75
522,-56.07169,4538.312313,25.75
523,-32.087473,4658.38341,74.1875
524,-65.32267,2615.444737,24.625
525,-69.719724,2257.310058,15.854167
526,-70.819103,5741.627307,17.072917
527,-80.81573,5670.705554,11.614583
528,-70.64613,8236.953935,22.875
529,-61.331053,9098.425923,17.59375
530,-69.61568,1913.302452,14.25
531,-86.964661,3089.349204,12.177083
532,-63.557711,4648.448691,43.552083
533,-60.743608,4881.623725,27.052083
534,-40.846418,5983.638153,66.96875
535,-68.653797,4873.853679,15.552083
536,-54.013463,2658.569431,36.052083
537,-54.869183,6744.618272,44.104167
538,-52.143903,5242.254952,86.485261
539,-59.634483,4907.52019,43.635417
540,-50.312221,6051.062523,30.583333
541,-57.770159,7856.317466,18.510417
542,-83.582562,7315.59732,22.208333
543,-38.19418,8258.918373,30.822917
544,-69.631154,9617.998631,14.53125
545,-36.598064,6642.584313,48.854167
546,-41.048812,7762.293465,75.708333
547,-36.061595,6974.543386,77.927083
548,-52.285363,4988.828074,46.96875
549,-48.010048,6993.861616,43.416667
550,-49.330489,9789.88497,23.895833
551,-51.752603,4221.843114,58.520833
552,-58.930992,4990.779016,15.135417
553,-61.506503,4793.35755,16.15625
554,-71.034413,2032.650318,23.59375
555,-63.143695,6633.305397,22.53125
556,-58.973446,4798.792646,18.229167
557,-65.554203,2176.674185,16.916667
558,-62.253986,8264.985246,16.927083
559,-83.599853,7450.948214,11.71875
560,-43.005627,9444.727645,55.65625
561,-50.491902,5392.770855,26.15625
562,-52.5883,6803.320008,23.614583
563,-73.050877,2423.145751,14.09375
564,-43.494452,7224.970046,31.125
565,-76.624047,2319.107399,21.989583
566,-108.518006,6646.651096,10.895833
567,-51.975343,4459.826387,21.010417
568,-83.761969,1844.109684,12.104167
569,-32.299511,7913.46459,106.572917
570,-50.874607,5275.085131,36.708333
571,-44.272723,8206.016113,26.09375
572,-61.9002,2315.674596,30.4375
573,-67.425353,2658.235539,25.15625
574,-63.732823,5119.166151,39.885417
575,-80.616746,5119.754844,13.833333
576,-49.160051,10243.46316,10.208333
577,-38.859069,7147.103169,71.729167
578,-59.35793,5441.309957,17.322917
579,-52.833507,7453.274733,33
580,-51.065372,6890.912255,20
581,-65.669646,1319.350074,19.302083
582,-73.593387,6953.679649,24.25
583,-44.324109,5520.269599,31.28125
584,-58.304895,5824.479612,25.583333
585,-52.643224,4245.041184,54.90625
586,-67.408831,3512.874768,24.989583
587,-52.668167,5286.775322,28.5625
588,-65.587361,4596.029166,33.927083
589,-63.283765,5837.759401,20.260417
590,-57.709773,3147.529679,18.875
591,-72.03169,2846.528672,19.4375
592,-50.460252,7487.592664,18.458333
593,-82.316067,4432.247466,14.083333
594,-79.462167,4957.61873,22
595,-54.488688,10581.44826,10.0625
596,-41.177361,4145.088747,52.84375
597,-58.745053,3939.772114,16.21875
598,-52.935324,1945.545678,31.354167
599,-73.238439,1398.697742,19.40625
600,-62.516029,1577.182251,41.1875
601,-55.121047,5092.645546,15.708333
602,-65.234191,9332.041129,54.104308
603,-74.510888,5336.15715,15.458333
604,-75.305564,5972.239496,14.125
605,-56.519577,10251.48196,23.71875
606,-54.209683,6272.205812,45.291667
607,-58.256111,6795.441446,45.760417
608,-46.984203,4356.067896,29.177083
609,-50.614713,7475.124081,10.229167
610,-56.039018,5047.386137,17.354167
611,-72.704746,4842.942719,14.1875
612,-53.840848,3392.042068,21.0625
613,-59.863469,3093.171719,16.197917
614,-55.116284,5774.447754,18.53125
615,-78.265665,3004.195872,22.03125
616,-70.002379,3860.574263,16.979167
617,-67.101518,4805.357732,13.052083
618,-72.237843,1983.314961,23.791667
619,-74.136438,852.124839,15.760417
620,-74.858243,3974.061571,11.635417
621,-86.211498,6531.957281,22.364583
622,-67.821154,3366.453143,19.1875
623,-70.595042,9026.656743,18.697917
624,-58.131209,7485.432132,10.09375
625,-60.45902,5603.815536,29.114583
626,-42.967225,8696.011116,27.927083
627,-73.200007,5136.165307,13.1875
628,-67.893288,2525.77863,16.1875
629,-55.337086,13141.32313,15.53125
630,-61.51425,6904.449008,23.958333
631,-51.472923,8382.398426,16.125
632,-50.184716,6163.540301,42.041667
633,-71.043987,6987.949982,14
634,-58.854314,8122.321805,24.989583
635,-78.04658,7940.281135,13.510417
636,-68.268992,586.110928,27.145833
637,-70.088726,3809.545533,10.4375
638,-67.497633,7800.881901,15.479167
639,-67.276494,6541.552602,17.53125
640,-87.342744,9112.921953,11.947917
641,-58.692718,1474.671746,15.177083
642,-63.248917,1213.068157,13.78125
643,-71.000295,7476.796871,13.364583
644,-71.288755,3910.073875,13.885417
645,-83.688434,1193.908997,13.135417
646,-65.289565,8360.943806,14.927083
647,-78.549827,8705.802339,12.260417
648,-58.425182,5746.159739,15.28125
649,-66.701172,4717.626369,13.197917
650,-62.998905,4617.695168,14.614583
651,-68.493717,4406.477183,13.59375
652,-50.388738,4681.455131,19.510417
653,-87.116243,4039.663345,11.583333
654,-54.465888,5141.507067,20.020833
655,-61.874043,3672.138589,24.072917
656,-61.868996,9639.601097,23.302083
657,-59.07824,3873.678246,14.770833
658,-60.963123,10925.51011,13.291667
659,-30.877212,7939.742571,95.03125
660,-82.305106,4367.497843,21.572917
661,-50.091753,9556.316406,27.895833
662,-57.393187,3506.245492,17.270833
663,-116.474874,11205.06559,10.71875
664,-52.249877,6959.590217,40.895833
665,-51.971897,9038.958282,45.104167
666,-55.754461,11291.17324,15.09375
667,-44.638202,7521.981584,49.416667
668,-53.967831,4589.699211,18.90625
669,-73.731538,8597.927287,12.416667
670,-41.170287,8482.816118,51.895833
671,-64.053767,3612.463748,14.291667
672,-75.438034,6629.577003,12.34375
673,-52.024083,4886.161783,28.739583
674,-72.85607,11745.72771,11.9375
675,-53.465496,4213.719232,26.666667
676,-50.922712,6803.587914,16.875
677,-60.278314,4338.518641,16.15625
678,-50.984824,4746.509006,27.697917
679,-56.045743,5161.769841,10.5
680,-51.675238,7516.338435,17.541667
681,-71.001582,7947.019401,15
682,-59.591577,5471.691826,16.59375
683,-73.991137,2696.850049,13.072917
684,-73.823308,8342.761424,15.09375
685,-68.217122,8113.913897,14.854167
686,-44.414677,5480.401083,19.135417
687,-63.691979,1799.744525,24.572917
688,-69.973574,5457.516419,13.197917
689,-52.361813,5432.338645,24.208333
690,-42.194249,5454.884655,20.75
691,-72.543513,1178.642016,22.614583
692,-71.411636,9768.568717,22.260417
693,-70.410832,3180.545828,12.71875
694,-57.712219,6028.172044,10.666667
695,-64.64174,8126.972545,14.427083
696,-80.60031,3592.490532,12.21875
697,-61.717552,6729.835925,16.770833
698,-55.001678,9975.20886,17.145833
699,-73.099381,1473.569909,12.645833
700,-50.060508,2495.07871,30.09375
701,-77.880758,5029.651113,13.3125
702,-92.850256,5139.365972,46.984127
703,-61.035033,3970.025931,17.833333
704,-55.938914,6702.173436,20.135417
705,-75.753276,8385.409833,12.364583
706,-59.355272,5271.784871,34.177083
707,-53.516836,8510.923444,17.458333
708,-68.845959,9195.618752,22.364583
709,-85.968454,11297.51024,11.875
710,-65.476124,6538.830272,33.125
711,-38.661011,9070.416068,42.15625
712,-74.211004,3451.68797,13.1875
713,-80.304477,4450.739167,12.052083
714,-81.636245,6081.781264,12.052083
715,-57.511963,9077.274958,19.65625
716,-79.902277,11306.95751,12.28125
717,-61.526602,1950.705816,18.916667
718,-89.669039,1746.039242,12.208333
719,-58.592128,7589.577562,20.239583
720,-59.64547,8090.15926,16.510417
721,-85.214808,3306.076848,12.458333
722,-54.68336,2403.125346,10.604167
723,-56.501302,7818.501482,27.5625
724,-40.325254,6158.656387,42.5
725,-66.210864,6460.367165,14.052083
726,-75.064199,6409.594521,12.510417
727,-53.221244,6611.171661,18.375
728,-83.0595,1813.70173,12.635417
729,-82.139231,1580.841019,13.177083
730,-80.398318,5491.565395,15.03125
731,-84.328991,10113.67694,12.385417
732,-52.356682,6077.326581,29.604167
733,-80.076288,4682.469922,13.416667
734,-83.648755,1240.122995,13.229167
735,-66.708998,4499.178667,17.6875
